drug_id,drug_N,file_name,imgfile,item_seq,json_file,back_color,camera_la,camera_lo,change_date,chart,color_class1,color_class2,di_class_no,di_company_mf,di_company_mf_en,di_edi_code,di_etc_otc_code,di_item_permit_date,dl_company,dl_company_en,dl_custom_shape,dl_idx,dl_mapping_code,dl_material,dl_material_en,dl_name,dl_name_en,drug_S,drug_dir,drug_shape,form_code_name,height,id,img_key,img_regist_ts,leng_long,leng_short,light_color,line_back,line_front,mark_code_back,mark_code_back_anal,mark_code_back_img,mark_code_front,mark_code_front_anal,mark_code_front_img,print_back,print_front,size,thick,width
K-036432,K-036432,K-036432_0_0_0_0_75_240_200.png,K-036432_0_0_0_0_75_240_200.png,201503196,TL_77_단일_unzipped/K-036432_json/K-036432_0_0_0_0_75_240_200.json,검은색 배경,75,240,20160902.0,흰색의 타원형 정제,하양,,"[02430]갑상선, 부갑상선호르몬제",,,664602150,전문의약품,20150527,(주)다림바이오텍,Dalimbiotech Company,"정제, 저작정",36431,K-036432,리오티로닌나트륨,Liothyronine Sodium,테트로닌정5mcg/병,Tetronine Tab. 5μg,정상알약,앞면,타원형,나정,1280,1,http://connectdi.com/design/img/drug/147427076761600058.jpg,20150910.0,7.54,5.03,전구색,,-,,,,,D,http://connectdi.com/design/img/drug/147938640332900091.jpg,,5분할선마크,200,2.79,976
K-036733,K-036733,K-036733_0_2_1_0_90_340_200.png,K-036733_0_2_1_0_90_340_200.png,201504070,TL_77_단일_unzipped/K-036733_json/K-036733_0_2_1_0_90_340_200.json,연회색 배경,90,340,20160825.0,"흰색 분말이 든 상,하부 연갈색의 경질캡슐",주황,주황,[01190]기타의 중추신경용약,,,651904220,전문의약품,20150622,명인제약(주),Myung In Pharm,경질캡슐제,36732,K-036733,리바스티그민타르타르산염,Rivastigmine Hydrogen Tartrate,리셀톤캡슐3mg(리바스티그민타르타르산염),Riselton Cap. 3mg,정상알약,뒷면,장방형,"경질캡슐제, 산제",1280,1,http://connectdi.com/design/img/drug/147427087959900054.jpg,20150820.0,17.6,6.07,전구색,,,,,,,"마름모,꽃잎,원",http://connectdi.com/design/img/drug/147938661567700076.jpg,,RISELTON--------  3mg  마크,200,6.35,976
K-036337,K-036337,K-036337_0_1_1_2_90_140_200.png,K-036337_0_1_1_2_90_140_200.png,201502966,TL_77_단일_unzipped/K-036337_json/K-036337_0_1_1_2_90_140_200.json,파랑색 배경,90,140,20210609.0,"흰색 또는 미황색 분말이 든 상부 적갈색, 하부 흰색의 경질캡슐",갈색,하양,[01190]기타의 중추신경용약,(주)동구바이오제약,Dongkoo Bio&Pharma,622802460,전문의약품,20150518,(주)마더스제약,Mother'S Pharmaceutical,경질캡슐제,36336,K-036337,프레가발린,Pregabalin,뉴로가발린캡슐 75mg,Neurogabalin Cap. 75mg,정상알약,뒷면,장방형,"경질캡슐제, 산제",1280,1,http://connectdi.com/design/img/drug/151525327782000028.jpg,20180102.0,13.58,4.8,주백색,,,,,,,,,,MTS NRG75,200,5.16,976
K-036265,K-036265,K-036265_0_0_1_0_75_260_200.png,K-036265_0_0_1_0_75_260_200.png,201502770,TL_77_단일_unzipped/K-036265_json/K-036265_0_0_1_0_75_260_200.json,검은색 배경,75,260,20210205.0,노란색의 장방형 필름코팅정,노랑,,[02590]기타의 비뇨생식기관 및 항문용약,(주)동구바이오제약,Dongkoo Bio&Pharma,640903030,전문의약품,20150507,(주)일화,Ilhwa,"정제, 저작정",36264,K-036265,타다라필,Tadalafil,시알라필정20mg/PTP,Cialafil Tab. 20mg,정상알약,뒷면,타원형,필름코팅정,1280,1,http://connectdi.com/design/img/drug/147427065184100030.jpg,20150924.0,12.9,7.1,전구색,,-,,,,,,,C20,I분할선H,200,4.2,976
K-036788,K-036788,K-036788_0_2_0_1_90_180_200.png,K-036788_0_2_0_1_90_180_200.png,201504179,TL_77_단일_unzipped/K-036788_json/K-036788_0_2_0_1_90_180_200.json,연회색 배경,90,180,20191118.0,적갈색의 타원형 필름코팅정,분홍,,[01190]기타의 중추신경용약,,,651904200,전문의약품,20150629,명인제약(주),Myung In Pharm,"정제, 저작정",36787,K-036788,레보도파|카르비도파수화물|엔타카폰,Carbidopa Monohydrate| Entacapone| Levodopa,트리레보정 100/25/200mg,Trilevo Tab. 100/25/200mg,정상알약,앞면,타원형,필름코팅정,1280,1,http://connectdi.com/design/img/drug/148838281169200097.jpg,20150803.0,17.0,7.0,주광색,,,,,,,,,MI,TL100,200,6.0,976
K-036394,K-036394,K-036394_0_0_0_1_90_320_200.png,K-036394_0_0_0_1_90_320_200.png,201503144,TL_77_단일_unzipped/K-036394_json/K-036394_0_0_0_1_90_320_200.json,검은색 배경,90,320,20210205.0,분할선을 가진 노란색의 모서리가 둥근 삼각형 모양의 필름코팅정제,노랑,,[02590]기타의 비뇨생식기관 및 항문용약,,,641606080,전문의약품,20150526,(주)대웅제약,Daewoong Pharmaceutical,"정제, 저작정",36393,K-036394,타다라필,Tadalafil,타오르정10mg/PTP,Taor Tab. 10mg,정상알약,앞면,삼각형,필름코팅정,1280,1,http://connectdi.com/design/img/drug/147427076761600187.jpg,20150722.0,12.5,6.0,주광색,,-,,,,,,,10,D분할선W,200,3.2,976
K-036254,K-036254,K-036254_0_2_1_2_70_220_200.png,K-036254_0_2_1_2_70_220_200.png,201502753,TL_77_단일_unzipped/K-036254_json/K-036254_0_2_1_2_70_220_200.json,연회색 배경,70,220,20190522.0,무색 내지 연한 적색의 투명한 내용물을 함유한 적색의 투명한 장방형 연질캡슐.,"빨강, 투명",,[01140]해열.진통.소염제,(주)알피바이오,Rp Bio,642203810,일반의약품,20150504,부광약품(주),Bukwang Pharm,연질캡슐제,36253,K-036254,이부프로펜|파마브롬,Ibuprofen| Pamabrom,이부프렌드프로연질캡슐 400mg/PTP,Ibu-friend Pro Soft Cap.,정상알약,뒷면,타원형,"연질캡슐제, 액상",1280,1,http://connectdi.com/design/img/drug/147427065184100012.jpg,20150914.0,25.0,10.0,주백색,,,,,,,,,,IFR-P,200,10.0,976
K-036670,K-036670,K-036670_0_2_1_2_90_240_200.png,K-036670_0_2_1_2_90_240_200.png,201503839,TL_77_단일_unzipped/K-036670_json/K-036670_0_2_1_2_90_240_200.json,연회색 배경,90,240,20201013.0,적갈색의 타원형 필름코팅정,갈색,,[03190]기타의 비타민제,(유)한풍제약,Hanpoong Pharm & Foods,642203870,일반의약품,20150612,부광약품(주),Bukwang Pharm,"정제, 저작정",36669,K-036670,시아노코발라민1000배산|리보플라빈|폴산|제피아스코르브산|산화아연|피리독신염산염|니코틴산아미드|판토텐산칼슘|벤포티아민|비오틴|콜린타르타르산염|이노시톨|우르소데옥시콜산|토코페롤아세테이트 2배산|γ-오리자놀|콜레칼시페롤과립,50% Tocopherol Acetate Powder| Ascorbic Acid| Benfotiamine| Biotin| Calcium Pantothenate| Cholecalciferol Gr.| Choline Bitartrate| Cyanocobalamin(1000倍散)| Folic Acid| Inositol| Nicotinamide| Pyridoxine Hydrochloride| Riboflavin| Ursodeoxycholic Acid| Zinc Oxide| γ-Oryzanol,메가바이정 100mg/병,Mega-Vai Tab.,정상알약,뒷면,타원형,필름코팅정,1280,1,http://connectdi.com/design/img/drug/149875082827600025.jpg,20170623.0,17.3,10.23,주백색,,,,,,,,,,MGV,200,7.76,976
K-036861,K-036861,K-036861_0_2_0_0_90_300_200.png,K-036861_0_2_0_0_90_300_200.png,201504314,TL_77_단일_unzipped/K-036861_json/K-036861_0_2_0_0_90_300_200.json,연회색 배경,90,300,20170610.0,녹색의 원형 필름코팅정,연두,,[02320]소화성궤양용제,,,671805960,전문의약품,20150630,대원제약(주),Daewon Pharmaceutical,"정제, 저작정",36860,K-036861,애엽이소프로판올연조엑스,Artemisia Herb Isopropanol Soft Ext.(20→1),오티렌F정[애엽이소프로판올연조엑스(20→1)],Otillen F Tab.,정상알약,앞면,원형,필름코팅정,1280,1,http://connectdi.com/design/img/drug/147427093060400116.jpg,20150915.0,9.8,9.8,전구색,,,,,,,,,90,DWP,200,4.1,976
K-036344,K-036344,K-036344_0_2_1_0_90_220_200.png,K-036344_0_2_1_0_90_220_200.png,201502973,TL_77_단일_unzipped/K-036344_json/K-036344_0_2_1_0_90_220_200.json,연회색 배경,90,220,20190805.0,노랑색 원형 필름코팅정,주황,,[02180]동맥경화용제,신일제약(주),Sinil Pharmaceutical,647303070,전문의약품,20150518,에이치엘비제약(주),HLB Pharma,"정제, 저작정",36343,K-036344,로수바스타틴칼슘,Rosuvastatin Calcium,로바스토정 5mg,Rovasto Tab. 5mg,정상알약,뒷면,원형,필름코팅정,1280,1,http://connectdi.com/design/img/drug/151697289835800118.jpg,20180123.0,7.13,7.13,전구색,,,,,,,,,5,CR,200,3.48,976
K-036926,K-036926,K-036926_0_2_1_0_70_140_200.png,K-036926_0_2_1_0_70_140_200.png,201504698,TL_77_단일_unzipped/K-036926_json/K-036926_0_2_1_0_70_140_200.json,연회색 배경,70,140,20191104.0,무색 내지 연한 녹색의 내용물을 함유한 녹색의 투명한 장방형 연질캡슐,"청록, 투명",,[01140]해열.진통.소염제,,,661604510,일반의약품,20150708,(주)알피바이오,Rp Bio,연질캡슐제,36925,K-036926,아세트아미노펜|슈도에페드린염산염|클로르페니라민말레산염|dl-메틸에페드린염산염,Acetaminophen| Chlorpheniramine Maleate| DL-Methylephedrine Hydrochloride| Pseudoephedrine Hydrochloride,제로코연질캡슐 325mg/PTP,Zeroco Soft Cap.,정상알약,뒷면,타원형,"연질캡슐제, 액상",1280,1,http://connectdi.com/design/img/drug/147427100481600024.jpg,20151012.0,25.5,9.4,전구색,,,,,,,,,,제로코,200,9.4,976
K-036953,K-036953,K-036953_0_2_0_1_60_080_200.png,K-036953_0_2_0_1_60_080_200.png,201504769,TL_77_단일_unzipped/K-036953_json/K-036953_0_2_0_1_60_080_200.json,연회색 배경,60,80,20201021.0,주황색의 양면이 볼록한 원형 필름코팅정,주황,,[01130]항전간제,Eisai Manufacturing Limited,,621100060,전문의약품,20150710,한국에자이(주),Eisai Korea,"정제, 저작정",36952,K-036953,페람파넬,Perampanel　,파이콤파필름코팅정 2mg,Fycompa Film Coated Tab. 2mg,정상알약,앞면,원형,필름코팅정,1280,1,http://connectdi.com/design/img/drug/147427100481600039.jpg,20150820.0,6.6,6.6,주광색,,,,,,,"E,∃,∈,∋",http://connectdi.com/design/img/drug/147938665320000173.jpg,2,마크275,200,3.1,976
K-036880,K-036880,K-036880_0_0_1_2_90_100_200.png,K-036880_0_0_1_2_90_100_200.png,201504347,TL_77_단일_unzipped/K-036880_json/K-036880_0_0_1_2_90_100_200.json,검은색 배경,90,100,20151231.0,흰색 내지 연한 노란색의 과립 또는 가루가 든 상하부 불투명한 흰색의 경질캡슐제,하양,하양,[02590]기타의 비뇨생식기관 및 항문용약,,,643507340,전문의약품,20150702,한미약품(주),Hanmi Pharm,경질캡슐제,36879,K-036880,실로도신,Silodosin,실도신캡슐 8mg,Sildosin Cap. 8mg,정상알약,뒷면,장방형,"경질캡슐제, 과립제",1280,1,http://connectdi.com/design/img/drug/147427093060400180.jpg,20151216.0,15.7,5.83,주백색,,,,,,,,,,Hanmi SIL8,200,5.83,976
K-036813,K-036813,K-036813_0_0_1_0_90_020_200.png,K-036813_0_0_1_0_90_020_200.png,201504231,TL_77_단일_unzipped/K-036813_json/K-036813_0_0_1_0_90_020_200.json,검은색 배경,90,20,20191226.0,흰색의 팔각형 정제,하양,,[02140]혈압강하제,,,693901620,전문의약품,20150630,(주)셀트리온제약,Celltrion Pharm,"정제, 저작정",36812,K-036813,암로디핀베실산염,Amlodipine Besylate,크라노스정5밀리그램,Cranos Tab. 5mg,정상알약,뒷면,팔각형,나정,1280,1,http://connectdi.com/design/img/drug/148674126111200044.jpg,20160118.0,8.6,6.1,전구색,,,,,,,,,A7,CL,200,2.9,976
K-036395,K-036395,K-036395_0_0_0_0_75_180_200.png,K-036395_0_0_0_0_75_180_200.png,201503145,TL_77_단일_unzipped/K-036395_json/K-036395_0_0_0_0_75_180_200.json,검은색 배경,75,180,20150609.0,흰색 내지 연한 노란색의 과립 또는 가루가 든 상하부 불투명한 흰색의 경질캡슐제,하양,하양,[02590]기타의 비뇨생식기관 및 항문용약,,,643507220,전문의약품,20150526,한미약품(주),Hanmi Pharm,경질캡슐제,36394,K-036395,실로도신,Silodosin,실도신캡슐 4mg,Sildosin Cap. 4mg,정상알약,앞면,장방형,"경질캡슐제, 산제",1280,1,http://connectdi.com/design/img/drug/147427076761600198.jpg,20151216.0,15.7,5.83,전구색,,,,,,,,,,Hanmi SIL4,200,5.83,976
K-036747,K-036747,K-036747_0_0_1_1_75_120_200.png,K-036747_0_0_1_1_75_120_200.png,201504100,TL_77_단일_unzipped/K-036747_json/K-036747_0_0_1_1_75_120_200.json,검은색 배경,75,120,20210316.0,흰색의 원형 정제,하양,,[01140]해열.진통.소염제,에이프로젠제약(주),Medica Korea,641501820,전문의약품,20150623,맥널티제약(주),Mcnulty,"정제, 저작정",36746,K-036747,록소프로펜나트륨수화물,,록프란정,Roxpran Tab.,정상알약,뒷면,원형,나정,1280,1,http://connectdi.com/design/img/drug/1MeGuNe7Np_.jpg,20190408.0,9.6,9.6,주광색,,,,,,,,,,LXP,200,2.9,976
K-036268,K-036268,K-036268_0_0_0_2_75_020_200.png,K-036268_0_0_0_2_75_020_200.png,201502773,TL_77_단일_unzipped/K-036268_json/K-036268_0_0_0_2_75_020_200.json,검은색 배경,75,20,20210205.0,노란색의 양쪽이 볼록한 장방형 필름코팅정제,노랑,,[02590]기타의 비뇨생식기관 및 항문용약,,,643307020,전문의약품,20150507,(주)종근당,Chong Kun Dang Pharmaceutical,"정제, 저작정",36267,K-036268,타다라필,Tadalafil,센돔정10mg/PTP,Cendom Tab. 10mg,정상알약,앞면,기타,필름코팅정,1280,1,http://connectdi.com/design/img/drug/147427065184100033.jpg,20150708.0,12.3,6.3,주백색,-,,,,,,,,1분할선0,CKD,200,3.45,976
K-036289,K-036289,K-036289_0_2_0_1_75_120_200.png,K-036289_0_2_0_1_75_120_200.png,201502798,TL_77_단일_unzipped/K-036289_json/K-036289_0_2_0_1_75_120_200.json,연회색 배경,75,120,20160904.0,"엷은 주황색 가루가 든 상부, 하부 담청색의 경질캡슐제",파랑,파랑,[02310]치과구강용약,정우신약(주),Aprogen Pharmaceuticals,628900490,일반의약품,20150508,(주)이든파마,Eden Pharma,경질캡슐제,36288,K-036289,리소짐염산염|제피아스코르브산|토코페롤아세테이트 2배산|카르바조크롬,50% Tocopherol Acetate Powder| Ascorbic Acid Coated| Carbazochrome| Lysozyme Chloride,덴티드에프캡슐 2mg/PTP,Dentid F Cap.,정상알약,앞면,장방형,"경질캡슐제, 산제",1280,1,http://connectdi.com/design/img/drug/147427065184100077.jpg,20151125.0,18.95,6.37,주광색,,,,,,,,,,EK2 DTD,200,6.7,976
K-036271,K-036271,K-036271_0_2_0_2_75_080_200.png,K-036271_0_2_0_2_75_080_200.png,201502776,TL_77_단일_unzipped/K-036271_json/K-036271_0_2_0_2_75_080_200.json,연회색 배경,75,80,20190103.0,황갈색의 유상 내용물을 함유한 암적색의 장방형 연질캡슐,갈색,,[03910]간장질환용제,코스맥스파마(주),Cosmax Pharma,656003830,일반의약품,20150507,알리코제약(주),Arlico,연질캡슐제,36270,K-036271,밀크시슬열매건조엑스,Milk-thistle Ext.,리버솔연질캡슐 350mg/PTP,Liversol Soft Cap.,정상알약,앞면,타원형,"연질캡슐제, 현탁상",1280,1,http://connectdi.com/design/img/drug/153269587130800080.jpg,20161201.0,19.94,9.14,주백색,,,,,,,,,,리버솔,200,9.14,976
K-036857,K-036857,K-036857_0_1_0_1_70_160_200.png,K-036857_0_1_0_1_70_160_200.png,201504306,TL_77_단일_unzipped/K-036857_json/K-036857_0_1_0_1_70_160_200.json,파랑색 배경,70,160,20210609.0,"흰색 또는 거의 흰색의 가루가든 상부 적갈색, 하부 흰색의 경질 캡슐",갈색,하양,[01190]기타의 중추신경용약,Genveon Ilac Sanayi ve Ticaret A.S.,,668101510,전문의약품,20150630,한국산도스(주),Sandoz Korea,경질캡슐제,36856,K-036857,프레가발린,Pregabalin,산도스프레가발린캡슐 75mg,Pregabalin Cap. 75mg Sandoz,정상알약,앞면,장방형,"경질캡슐제, 산제",1280,1,http://connectdi.com/design/img/drug/1MeM47xF8FN.jpg,20170630.0,14.42,4.95,주광색,,,,,,,,,,P 75,200,5.24,976
K-036554,K-036554,K-036554_0_2_0_0_75_180_200.png,K-036554_0_2_0_0_75_180_200.png,201503487,TL_77_단일_unzipped/K-036554_json/K-036554_0_2_0_0_75_180_200.json,연회색 배경,75,180,20170909.0,분할선을 가진 연두색의 모서리가 둥근 삼각형 필름코팅정,연두,,[02590]기타의 비뇨생식기관 및 항문용약,(주)대웅제약,Daewoong Pharmaceutical,694000860,전문의약품,20150529,대웅바이오(주),Daewoong Bio,"정제, 저작정",36553,K-036554,실데나필시트르산염,Sildenafil Citrate,대웅바이오실데나필정50mg/PTP,Daewoongbio Sildenafil Tab. 50mg,정상알약,앞면,삼각형,필름코팅정,1280,1,http://connectdi.com/design/img/drug/147427065184100098.jpg,20150818.0,12.0,5.715,전구색,-,,,,,,,,5분할선0,DWB,200,4.8,976
K-036518,K-036518,K-036518_0_0_0_0_90_040_200.png,K-036518_0_0_0_0_90_040_200.png,201503305,TL_77_단일_unzipped/K-036518_json/K-036518_0_0_0_0_90_040_200.json,검은색 배경,90,40,20210205.0,노란색 삼각형 모양의 필름코팅정제,노랑,,[02590]기타의 비뇨생식기관 및 항문용약,일동제약(주),Ildong Pharmaceutical,693901490,전문의약품,20150529,(주)셀트리온제약,Celltrion Pharm,"정제, 저작정",36517,K-036518,타다라필,Tadalafil,타올라스정20mg/PTP,Taollas Tab. 20mg,정상알약,앞면,삼각형,필름코팅정,1280,1,http://connectdi.com/design/img/drug/1MiXf_My-2m.jpg,20190603.0,10.6,10.5,전구색,,,,,,,,,,CLP20,200,4.9,976
